ReSSO	오류 대응(자동 적재): 마지막 회차가 'error' 로 끝났습니다. hold: budget	
SecCheck	오류 대응(자동 적재): 마지막 회차가 'error' 로 끝났습니다. hold: budget	
Vendra	오류 대응(자동 적재): 마지막 회차가 'error' 로 끝났습니다. hold: budget	
ai-admin	오류 대응(자동 적재): 마지막 회차가 'error' 로 끝났습니다. hold: budget	
aiportal-front	오류 대응(자동 적재): 마지막 회차가 'error' 로 끝났습니다. hold: budget	
aiportal-front-admin	오류 대응(자동 적재): 마지막 회차가 'error' 로 끝났습니다. hold: budget	
aiportal-py	오류 대응(자동 적재): 마지막 회차가 'error' 로 끝났습니다. hold: budget	
appstore	오류 대응(자동 적재): 마지막 회차가 'error' 로 끝났습니다. hold: budget	
cutover	오류 대응(자동 적재): 마지막 회차가 'error' 로 끝났습니다. hold: budget	
dataworks	오류 대응(자동 적재): 마지막 회차가 'error' 로 끝났습니다. hold: budget	
git-ctx	오류 대응(자동 적재): 마지막 회차가 'error' 로 끝났습니다. hold: budget	
hunter	오류 대응(자동 적재): 마지막 회차가 'error' 로 끝났습니다. hold: budget	
igame	오류 대응(자동 적재): 마지막 회차가 'error' 로 끝났습니다. hold: budget	
jasql_semantic	오류 대응(자동 적재): 마지막 회차가 'error' 로 끝났습니다. hold: budget	
jikim	오류 대응(자동 적재): 마지막 회차가 'error' 로 끝났습니다. hold: budget	
jupiq	오류 대응(자동 적재): 마지막 회차가 'error' 로 끝났습니다. hold: budget	
kanpic	오류 대응(자동 적재): 마지막 회차가 'error' 로 끝났습니다. hold: budget	
madi	오류 대응(자동 적재): 마지막 회차가 'error' 로 끝났습니다. hold: budget	
moina	오류 대응(자동 적재): 마지막 회차가 'error' 로 끝났습니다. hold: budget	
